rainfall_mm,temperature_celsius,aqi,wind_speed_kmh,disruption_type,city,persona,worker_zone_risk_score,hours_lost,payout_amount
44.9448142616835,31.71466128013416,305.4994088464896,51.05156546977391,curfew,Mumbai,ecommerce,0.48092148990255457,6.748063765780988,469.01
114.08571676918994,30.655714502016487,114.57919845954905,36.743396282735446,heavy_rain,Hyderabad,food,0.3834507209539588,7.31957745453229,435.56
87.83927301736861,26.58000172507436,171.32389302946018,77.15988198911526,severe_pollution,Delhi,food,0.5726683882866621,3.5551019038633127,389.74
71.83901810364439,37.788933422638685,282.1482229002364,17.518276078739056,extreme_heat,Delhi,ecommerce,0.2604138120810149,3.6367965470624393,355.76
18.722236853092383,34.39222817322435,218.73127058356798,47.02851327991525,curfew,Chennai,food,0.7501880322031491,6.465499884109977,396.82
18.719342440344317,44.5082258004241,308.4998635222128,56.01680119921781,strike,Mumbai,food,0.9975872170590626,2.427757988743349,448.43
6.970033460183935,22.834849092533513,386.4227654280009,66.04515914763053,strike,Pune,grocery,0.6408410521726238,6.12059182162778,394.45
103.94113749299223,38.740566116433286,90.79134070031913,32.55768243424057,flood,Hyderabad,grocery,0.8708117739240646,4.0352082069105055,494.24
72.13380140918505,41.83667084130059,298.3487007393213,54.95375261259852,strike,Delhi,ecommerce,0.2550958911708585,2.114636988455306,325.05
84.96870933552546,41.746650798895985,130.62045447124007,24.256117710742622,curfew,Delhi,ecommerce,0.8425634049972532,5.149450524921649,495.12
2.4701393154962936,45.037923144483656,195.06685459264924,34.838087388945624,heavy_rain,Hyderabad,ecommerce,0.9166900644103653,2.366355763808615,300.0
116.38918225943932,40.95487731356685,61.50195402829894,71.65017049627194,extreme_heat,Mumbai,ecommerce,0.8549808063521923,5.374226864061543,430.23
99.89311689605061,46.1230616028401,97.56758380244463,75.99260874647635,flood,Mumbai,ecommerce,0.6645335822304435,4.554458565533061,500.0
25.480693281393137,30.64907159534318,161.9220511671149,57.50538775418118,strike,Mumbai,food,0.9337420495798245,5.7775544635118985,312.24
21.818996064852072,35.08344483554012,169.69503185079475,29.948151262094804,strike,Delhi,grocery,0.9653203028689533,4.792484137313027,304.12
22.00854118241206,22.36607124535516,364.85482576173354,65.60462319797313,extreme_heat,Pune,grocery,0.8338272812096511,6.066280611129064,403.02
36.50906915514453,22.18089726988557,309.6345182432803,2.0693665380336146,extreme_heat,Bangalore,grocery,0.5924031717029666,7.969681149287326,429.01
62.970771795868544,28.243292131739516,390.2640388654644,8.219672843153685,curfew,Delhi,food,0.85176917451323,3.7421416441403386,500.0
51.83340223705389,24.620987125616217,259.6750286173342,52.909898910028886,strike,Chennai,food,0.4347466350056116,4.786007030291051,417.46
34.94749682376503,28.765495566329594,134.59980623196128,23.299886021604593,severe_pollution,Chennai,food,0.4119322813421279,0.8151263501286792,300.0
73.42234736668554,26.60312565773833,164.67926047257498,76.11089747203822,strike,Pune,grocery,0.4131166973941576,7.60327946637551,462.72
16.73926327824502,22.741520645804854,161.94257315218846,34.88484896738438,curfew,Delhi,grocery,0.279296412192665,4.77069416299459,349.38
35.05735782422618,45.641907806557285,164.27301468213807,34.34918563113416,flood,Delhi,grocery,0.6606503771221749,0.8224155890866713,389.48
43.963421195243,22.21380141611118,285.5374605891355,54.2463608152745,heavy_rain,Hyderabad,grocery,0.6953303375240117,3.200093390815675,300.0
54.72839810604431,41.13813575276422,235.78277483164567,61.405484984495175,strike,Mumbai,grocery,0.8736756563387992,0.6503487151937257,376.69
94.22111536716163,25.95584505990743,184.89846233032551,38.04469905001092,curfew,Pune,food,0.7250596709648477,3.9776064945146947,465.81
23.96085385900317,45.7179701719896,102.18141905505081,17.12007213693793,severe_pollution,Hyderabad,food,0.8019434279435875,2.2164179636069834,304.43
61.708132609633395,45.212694429337034,57.74870702975107,61.86469141804973,severe_pollution,Pune,grocery,0.7199489047383032,2.722232772267126,480.44
71.0897482634451,39.001429805600694,126.59213715569241,25.628101989890204,curfew,Chennai,food,0.7273409567796463,0.5526246870156317,427.42
5.574049526399727,39.47808789481573,87.61499138903844,14.008861543508608,flood,Chennai,grocery,0.4064935954781389,6.099267031279609,392.31
72.9053822281726,22.1388176912119,324.9057607982838,50.531215194001064,severe_pollution,Bangalore,grocery,0.9692962972195324,6.7290134061255955,500.0
20.462894842474984,47.60666071895365,89.37428523485988,7.236293359228032,severe_pollution,Mumbai,grocery,0.6749117762179554,1.1210835015427731,326.17
7.806191158233542,44.82364769297118,303.47988305739267,77.70821400688439,strike,Mumbai,food,0.6284228706047188,6.005219978446467,500.0
113.86626447039998,45.27276186898239,184.9805414216289,50.59178115297095,strike,Pune,ecommerce,0.8624950415191502,1.0285559401126356,413.7
115.87584396894712,39.14035796332267,75.68243641032159,78.87164167374047,flood,Chennai,ecommerce,0.4788604439824864,0.6843344249125218,397.63
97.00768177397534,30.964460145017952,334.455517301055,27.111473878290884,flood,Hyderabad,ecommerce,0.18662724622242252,0.9127424443547794,457.59
